No.,#id,stations
43321,COI,Coimbatore
43322,CMG,Chamarajnagar
43325,YER,Salem
43328,PND,Pondicherry
43333,POR,Port Blair
43337,,Kavarati
43339,NAT,Kodaikanal
43344,TUT,Tiruchirapalli
43346,,Karaikal
43347,,Nagapattinam
43352,,Alapuzha
43353,,Kochi
43354,,Punalur
43355,KUM,Kottayam
43360,MAI,Madurai
43361,,Tondi
43363,,Pamban
43369,MNY,Minicoy
43371,TRV,Thiruvananthapuram
43376,,Palayankottai
43377,PCR,Kanyakumari
